Time [s],Channel 0,Channel 1,Channel 2,Channel 3
1.318207600,0,0,0,1
1.318250300,0,0,1,1
1.318665400,0,0,0,1
1.318845000,1,0,0,1
1.319570200,1,0,1,1
1.319813000,1,0,1,0
1.320010200,0,0,1,0
1.320518600,0,1,1,0
1.320748100,1,1,1,0
1.321926900,0,1,1,0
1.321951500,0,1,0,0
1.322127000,0,1,0,1
1.322236900,1,1,0,1
1.322447200,1,0,0,1
1.322748100,1,1,0,1
1.323091400,1,1,1,1
1.323148400,1,1,0,1
1.323537800,1,1,1,1
1.324088900,1,0,1,1
1.324557800,0,0,1,1
1.325093600,0,0,1,0
1.325882600,0,0,0,0
1.326332500,0,1,0,0
1.326563800,1,1,0,0
1.326688300,1,1,0,1
1.328536500,1,1,0,0
1.328856100,1,1,1,0
1.329301500,1,1,1,1
1.329501300,1,0,1,1
1.329705100,0,0,1,1
1.330064200,1,0,1,1
1.330789700,1,0,0,1
1.330809000,1,0,0,0
1.330899200,1,1,0,0
1.332813500,1,0,0,0
1.332936900,0,0,0,0
1.333281100,0,0,0,1
1.333554400,0,0,0,0
1.333855200,0,0,1,0
1.334120400,0,0,0,0
1.334236600,0,0,0,1
1.335817000,0,1,0,1
1.335897400,0,0,0,1
1.335922000,1,0,0,1
1.336418800,1,0,1,1
1.336477600,1,0,1,0
1.336483600,1,1,1,0
1.337147600,1,1,0,0
1.337158900,1,1,0,1
1.337774400,0,1,0,1
1.338657800,0,0,0,1
1.339039800,1,0,0,1
1.339482100,1,0,1,1
1.339986600,1,0,1,0
1.340503900,0,0,1,0
1.340558700,0,0,1,1
1.340993800,1,0,1,1
1.341078600,0,0,1,1
1.341254000,0,1,1,1
1.341296400,0,1,1,0
1.342639800,0,1,0,0
1.342681900,0,0,0,0
1.342807500,0,0,1,0
1.344079800,0,1,1,0
1.344142400,0,0,1,0
1.344206100,1,0,1,0
1.344288000,1,0,1,1
1.345859700,1,0,0,1
1.346059000,1,0,0,0
1.346482100,1,0,1,0
1.346871200,1,0,1,1
1.347297300,1,1,1,1
1.347392300,0,1,1,1
1.347633400,0,1,0,1
1.348954100,1,1,0,1
1.349557900,1,1,0,0
1.349737500,1,0,0,0
1.350154800,1,0,1,0
1.351304000,1,0,1,1
1.351912500,0,0,1,1
1.352538200,0,1,1,1
1.352928800,0,1,0,1
1.353661000,0,1,0,0
1.354062200,0,0,0,0
1.354098200,0,1,0,0
1.354619200,0,1,1,0
1.354847100,1,1,1,0
1.355047000,1,1,1,1
1.355262900,1,0,1,1
1.355681700,1,1,1,1
1.355886400,1,1,0,1
1.356251900,0,1,0,1
1.356379200,0,1,0,0
1.356989100,0,1,0,1
1.357650600,0,0,0,1
1.359058100,0,0,1,1
1.359259200,1,0,1,1
1.359330500,1,0,1,0
1.359510800,1,1,1,0
1.360236900,0,1,1,0
1.360690200,0,0,1,0
1.361418200,0,0,1,1
1.361928700,0,0,0,1
1.361933900,0,0,0,0
1.362753000,0,1,0,0
1.362878000,1,1,0,0
1.363171100,0,1,0,0
1.363290100,0,1,0,1
1.363775700,0,1,0,0
1.363983100,0,1,1,0
1.364775500,1,1,1,0
1.365248100,0,1,1,0
1.365621300,1,1,1,0
1.365706200,1,0,1,0
1.365846000,1,0,0,0
1.366511400,1,0,0,1
1.367370700,0,0,0,1
1.367438800,0,1,0,1
1.367663100,0,1,1,1
1.367679800,0,1,0,1
1.368176300,0,1,1,1
1.368547600,0,1,1,0
1.368745700,0,1,0,0
1.370129100,0,1,1,0
1.370186900,0,1,0,0
1.370221700,0,1,0,1
1.370367100,0,0,0,1
1.370523400,1,0,0,1
1.371408900,1,0,0,0
1.371443000,1,0,0,1
1.371667200,1,0,1,1
1.371707300,1,0,1,0
1.372055000,1,0,0,0
1.372183400,0,0,0,0
1.373180400,1,0,0,0
1.373213200,1,1,0,0
1.373428200,1,1,1,0
1.374231800,1,0,1,0
1.374259800,1,0,1,1
1.374746600,1,0,0,1
1.375262800,1,0,1,1
1.375533400,0,0,1,1
1.375703300,0,0,1,0
1.375832600,0,0,0,0
1.377183100,0,1,0,0
1.377463500,0,1,0,1
1.377469500,1,1,0,1
1.377480200,1,1,0,0
1.377483200,1,1,0,1
1.378522100,1,1,1,1
1.379750200,0,1,1,1
1.380111600,1,1,1,1
1.380160800,0,1,1,1
1.380317600,0,1,1,0
1.380326400,0,0,1,0
1.380820800,0,0,0,0
1.380903900,0,0,0,1
1.381352000,0,0,1,1
1.381722100,0,0,1,0
1.382178800,0,1,1,0
1.382615100,1,1,1,0
1.382712100,1,1,0,0
1.384677600,0,1,0,0
1.384830400,0,1,0,1
1.384856700,0,0,0,1
1.384973900,1,0,0,1
1.385387500,0,0,0,1
1.385862700,0,0,1,1
1.386503700,1,0,1,1
1.386582900,1,0,1,0
1.386784700,1,1,1,0
1.387486100,1,1,1,1
1.388816300,0,1,1,1
1.388954900,0,1,0,1
1.389366700,0,0,0,1
1.389824200,0,0,0,0
1.390992000,1,0,0,0
1.391055800,1,0,0,1
1.391097700,1,1,0,1
1.391533300,1,1,1,1
1.392446500,1,1,0,1
1.393289100,1,1,0,0
1.393981600,0,1,0,0
1.394005600,1,1,0,0
1.394006400,1,0,0,0
1.394837900,1,0,0,1
1.395482700,1,0,1,1
1.395507000,0,0,1,1
1.395675300,0,0,1,0
1.396365300,0,1,1,0
1.397761700,0,1,0,0
1.397823200,1,1,0,0
1.398174900,1,1,0,1
1.398246900,1,0,0,1
1.398555700,1,1,0,1
1.398824500,1,0,0,1
1.399857100,0,0,0,1
1.400886300,0,0,1,1
1.401344200,0,0,1,0
1.401792900,0,1,1,0
1.402775600,1,1,1,0
1.402897300,1,1,0,0
1.403877700,1,1,0,1
1.404173800,1,0,0,1
1.404191300,1,0,0,0
1.404349500,1,0,1,0
1.405402600,1,1,1,0
1.405457900,0,1,1,0
1.405605200,1,1,1,0
1.406597700,1,1,0,0
1.407070500,1,1,0,1
1.407954600,1,0,0,1
1.408075100,1,0,1,1
1.408376000,0,0,1,1
1.409367600,0,0,1,0
1.410098600,1,0,1,0
1.410665900,1,0,0,0
1.411199100,1,1,0,0
1.411433200,1,1,1,0
1.412612700,1,1,1,1
1.412878900,0,1,1,1
1.412993900,0,0,1,1
1.413537000,0,0,0,1
1.413641000,0,1,0,1
1.413734900,0,1,1,1
1.413968800,0,1,1,0
1.414117400,0,1,0,0
1.415443100,0,1,0,1
1.415527600,0,1,1,1
1.415725000,0,0,1,1
1.415871100,0,0,1,0
1.416009100,1,0,1,0
1.416937700,1,0,1,1
1.417033000,1,0,1,0
1.417079900,1,1,1,0
1.418346800,1,1,0,0
1.418582900,1,0,0,0
1.418697600,1,0,1,0
1.419148700,1,1,1,0
1.419221000,0,1,1,0
1.419221800,1,1,1,0
1.419615900,1,1,1,1
1.420251900,1,1,0,1
1.420802600,1,1,0,0
1.420835700,0,1,0,0
1.421034800,0,1,1,0
1.421054600,0,1,1,1
1.422315400,0,1,1,0
1.422365000,0,0,1,0
1.423726900,1,0,1,0
1.423772500,1,0,0,0
1.423787600,0,0,0,0
1.423821400,0,0,0,1
1.424727000,0,1,0,1
1.425266300,1,1,0,1
1.425696800,1,1,0,0
1.425705800,1,0,0,0
1.426281000,1,0,1,0
1.426791100,1,0,0,0
1.426803500,1,0,1,0
1.426830700,0,0,1,0
1.427187900,0,1,1,0
1.427297100,0,1,1,1
1.428406900,0,1,1,0
1.429495000,1,1,1,0
1.429601400,1,1,0,0
1.429902800,1,0,0,0
1.431458500,1,0,0,1
1.431551500,1,1,0,1
1.432379300,1,1,0,0
1.432393700,1,1,1,0
1.432466700,0,1,1,0
1.433515600,1,1,1,0
1.433786200,1,0,1,0
1.435212600,1,0,0,0
1.435635100,1,0,0,1
1.435656000,1,0,1,1
1.435820200,1,1,1,1
1.435928600,1,0,1,1
1.436360200,0,0,1,1
1.436992500,0,0,0,1
1.437722000,0,1,0,1
1.437905000,1,1,0,1
1.438541200,1,1,0,0
1.439831000,1,1,0,1
1.439908900,1,1,1,1
1.440292000,1,1,1,0
1.440302000,1,0,1,0
1.441043600,0,0,1,0
1.441704900,0,0,0,0
1.441747300,0,0,0,1
1.442409200,0,0,0,0
1.442626300,0,1,0,0
1.442824100,0,1,0,1
1.443106100,1,1,0,1
1.443326700,1,1,1,1
1.443712500,0,1,1,1
1.444704900,1,1,1,1
1.445397900,1,0,1,1
1.445504700,1,0,1,0
1.445662800,1,0,0,0
1.445793900,0,0,0,0
1.446664500,0,1,0,0
1.446723900,0,1,1,0
1.447221900,0,0,1,0
1.447714700,0,0,1,1
1.448101600,0,1,1,1
1.448226000,1,1,1,1
1.448796800,0,1,1,1
1.449642000,0,1,1,0
1.449922100,0,0,1,0
1.449959600,1,0,1,0
1.449965000,1,0,0,0
1.450972000,1,0,0,1
1.451397500,1,0,0,0
1.452367700,1,0,1,0
1.452759400,1,1,1,0
1.453093900,1,1,0,0
1.453138700,0,1,0,0
1.453501200,0,1,0,1
1.453896500,1,1,0,1
1.453985300,1,1,1,1
1.455813100,0,1,1,1
1.455914900,0,1,1,0
1.455931800,0,0,1,0
1.456958900,0,0,0,0
1.457245700,0,0,0,1
1.458124400,0,0,0,0
1.458673500,0,1,0,0
1.458945400,1,1,0,0
1.459216000,0,1,0,0
1.459318500,0,1,0,1
1.459817200,0,0,0,1
1.460227700,0,0,1,1
1.460862500,0,0,1,0
1.461829600,1,0,1,0
1.462427800,1,1,1,0
1.463093900,1,1,0,0
1.463148100,1,1,0,1
1.463315800,1,0,0,1
1.463641200,1,1,0,1
1.463790900,1,1,0,0
1.464772600,0,1,0,0
1.465253500,0,0,0,0
1.465657200,0,0,1,0
1.466731800,0,0,1,1
1.467262100,1,0,1,1
1.467371500,1,0,0,1
1.468297800,1,0,0,0
1.468360900,1,1,0,0
1.468427200,1,1,1,0
1.468769200,1,1,1,1
1.468888600,1,1,0,1
1.469793300,0,1,0,1
1.469846100,0,0,0,1
1.470647200,0,0,1,1
1.471764700,0,0,1,0
1.472230400,0,1,1,0
1.472469000,0,1,0,0
1.472543900,0,1,1,0
1.473034600,1,1,1,0
1.473223500,1,1,1,1
1.473593600,1,1,1,0
1.474323400,1,0,1,0
1.474537700,0,0,1,0
1.475179900,0,1,1,0
1.475267900,0,1,0,0
1.475841300,0,0,0,0
1.476119900,0,0,1,0
1.476439400,1,0,1,0
1.476727300,1,0,1,1
1.477660800,1,0,1,0
1.478410600,1,0,1,1
1.478526300,1,0,0,1
1.478607900,1,1,0,1
1.478879400,1,1,1,1
1.479313600,0,1,1,1
1.479621300,0,1,1,0
1.479877000,0,1,0,0
1.480833700,0,0,0,0
1.480996300,0,0,0,1
1.481980200,1,0,0,1
1.482434600,1,1,0,1
1.482612300,1,1,1,1
1.482759800,1,1,1,0
1.484092700,1,0,1,0
1.484225400,1,0,0,0
