name,type,start_time,duration
"Test Analyzer","error",0.7900918,0.0006848
"Test Analyzer","enable",0.7911848,0.0000001
"Test Analyzer","disable",0.7917193,0.0000001
"Test Analyzer","error",0.7937712,0.0006827
"Test Analyzer","error",0.7948509,0.0026795
"Test Analyzer","enable",0.7979665,0.0000001
"Test Analyzer","disable",0.7990268,0.0000001
"Test Analyzer","error",0.7993361,0.0028321
"Test Analyzer","error",0.8047516,0.0002228
"Test Analyzer","enable",0.8069146,0.0000001
"Test Analyzer","disable",0.8079178,0.0000001
"Test Analyzer","enable",0.8083165,0.0000001
"Test Analyzer","disable",0.8091124,0.0000001
"Test Analyzer","error",0.8099929,0.0015153
"Test Analyzer","enable",0.8136427,0.0000001
"Test Analyzer","disable",0.8147082,0.0000001
"Test Analyzer","error",0.8153024,0.0028944
"Test Analyzer","enable",0.8199294,0.0000001
"Test Analyzer","disable",0.820531,0.0000001
"Test Analyzer","enable",0.8224441,0.0000001
"Test Analyzer","disable",0.8231457,0.0000001
"Test Analyzer","error",0.8255424,0.0018463
"Test Analyzer","enable",0.8299616,0.0000001
"Test Analyzer","disable",0.8300596,0.0000001
"Test Analyzer","error",0.8313503,0.0001764
"Test Analyzer","error",0.8339262,0.0009062
"Test Analyzer","error",0.83595,0.0016873
"Test Analyzer","enable",0.8379838,0.0000001
"Test Analyzer","disable",0.839257,0.0000001
"Test Analyzer","enable",0.8424636,0.0000001
"Test Analyzer","disable",0.8449722,0.0000001
"Test Analyzer","enable",0.8474044,0.0000001
"Test Analyzer","disable",0.8485063,0.0000001
"Test Analyzer","error",0.8508769,0.0025652
"Test Analyzer","enable",0.8548322,0.0000001
"Test Analyzer","disable",0.855729,0.0000001
"Test Analyzer","error",0.8574113,0.0029367
"Test Analyzer","enable",0.8619716,0.0000001
"Test Analyzer","disable",0.8647766,0.0000001
"Test Analyzer","error",0.8655641,0.0013658
"Test Analyzer","error",0.8689175,0.0029736
"Test Analyzer","enable",0.8742603,0.0000001
"Test Analyzer","disable",0.8755245,0.0000001
"Test Analyzer","enable",0.8784025,0.0000001
"Test Analyzer","disable",0.8791545,0.0000001
"Test Analyzer","error",0.879168,0.003212
"Test Analyzer","error",0.8849944,0.0002765
"Test Analyzer","error",0.8883999,0.000635
"Test Analyzer","enable",0.8915849,0.0000001
"Test Analyzer","disable",0.8935169,0.0000001
"Test Analyzer","error",0.8943748,0.0032316
"Test Analyzer","error",0.8992268,0.0001693
"Test Analyzer","error",0.9008537,0.0009171
"Test Analyzer","enable",0.9044314,0.0000001
"Test Analyzer","disable",0.9046735,0.0000001
"Test Analyzer","enable",0.9063276,0.0000001
