FS, Input, SNDR
0.06,0.031000000000000003,44.17966953166491
0.06,0.035555555555555556,45.47925602039034
0.06,0.04,46.35098763209717
0.06,0.041666666666666664,46.97598592768522
0.06,0.04777777777777778,47.812985855643205
0.06,0.05388888888888889,48.89953110248139
0.06,0.06,47.142974725871
0.06,0.066,25.499577453005013
0.07,0.004,27.613738383200264
0.07,0.005,29.351692176037012
0.07,0.012222222222222223,37.02198683055555
0.07,0.013000000000000001,37.70818668218135
0.07,0.019444444444444445,41.0304326599842
0.07,0.022000000000000002,41.94651053893487
0.07,0.02666666666666667,43.61914680246901
0.07,0.031000000000000003,44.82465758937615
0.07,0.03388888888888889,45.003873381111596
0.07,0.04,46.34625911334773
0.07,0.04111111111111111,46.489110369625955
0.07,0.04833333333333333,47.945490675039395
0.07,0.05555555555555556,48.967147307554114
0.07,0.06277777777777778,49.90301615087884
0.07,0.07,48.27783938597502
0.07,0.07700000000000001,24.736759303979518
0.08,0.004,27.54392570430062
0.08,0.005,29.272726301845935
0.08,0.013000000000000001,37.65626396880809
0.08,0.013333333333333332,37.73436529548717
0.08,0.021666666666666667,41.76721396888189
0.08,0.022000000000000002,42.10898012426962
0.08,0.030000000000000002,44.577639369053024
0.08,0.031000000000000003,44.92790915994269
0.08,0.03833333333333333,45.987751009187946
0.08,0.04,46.32949918808484
0.08,0.04666666666666666,47.619413623300765
0.08,0.055,48.94047481702798
0.08,0.06333333333333334,50.167857640576806
0.08,0.07166666666666667,51.32344824405864
0.08,0.08,49.63993330762455
0.08,0.08800000000000001,24.68209770022327
0.09,0.004,26.904472161963604
0.09,0.005,29.044368539586088
0.09,0.013000000000000001,37.31828856423347
0.09,0.014444444444444444,37.98940106764349
0.09,0.022000000000000002,41.57886088226243
0.09,0.023888888888888887,42.434450229457724
0.09,0.031000000000000003,44.354362430394794
0.09,0.033333333333333326,45.170762723531375
0.09,0.04,46.61243926210062
0.09,0.04277777777777777,46.85116479361734
0.09,0.05222222222222221,48.22637295984233
0.09,0.061666666666666654,49.668405853074546
0.09,0.0711111111111111,50.84895815040822
0.09,0.08055555555555555,51.91321777480465
0.09,0.09,50.38963983548228
0.09,0.099,24.99903693062616
0.1,0.004,27.298478316807095
0.1,0.005,29.196137903476192
0.1,0.013000000000000001,37.23553357267468
0.1,0.015555555555555555,38.866939737820736
0.1,0.022000000000000002,41.676958946587405
0.1,0.026111111111111113,43.10290313812204
0.1,0.031000000000000003,44.6042924436129
